French National Centre for Scientific Research,ror.org/02feahw73,756,affiliations,"June 08, 2021"
University of Oxford,ror.org/052gg0110,551,affiliations,"June 08, 2021"
University of British Columbia,ror.org/03rmrcq20,484,affiliations,"June 08, 2021"
Cornell University,ror.org/05bnh6r87,451,affiliations,"June 08, 2021"
"University of California, Davis",ror.org/05rrcem69,435,affiliations,"June 08, 2021"
University of Florida,ror.org/02y3ad647,398,affiliations,"June 08, 2021"
Uppsala University,ror.org/048a87296,394,affiliations,"June 08, 2021"
University of Zurich,ror.org/02crff812,382,affiliations,"June 08, 2021"
University of Toronto,ror.org/03dbr7087,381,affiliations,"June 08, 2021"
University of Exeter,ror.org/03yghzc09,376,affiliations,"June 08, 2021"
"University of California, Berkeley",ror.org/01an7q238,369,affiliations,"June 08, 2021"
Chinese Academy of Sciences,ror.org/034t30j35,364,affiliations,"June 08, 2021"
Duke University,ror.org/00py81415,363,affiliations,"June 08, 2021"
University of Washington,ror.org/00cvxb145,360,affiliations,"June 08, 2021"
University of Cambridge,ror.org/013meh722,358,affiliations,"June 08, 2021"
University of Helsinki,ror.org/040af2s02,351,affiliations,"June 08, 2021"
University of Georgia,ror.org/00te3t702,348,affiliations,"June 08, 2021"
Michigan State University,ror.org/05hs6h993,346,affiliations,"June 08, 2021"
University of Minnesota,ror.org/017zqws13,340,affiliations,"June 08, 2021"
Harvard University,ror.org/03vek6s52,318,affiliations,"June 08, 2021"
University of Sheffield,ror.org/05krs5044,311,affiliations,"June 08, 2021"
Imperial College London,ror.org/041kmwe10,310,affiliations,"June 08, 2021"
University of Edinburgh,ror.org/01nrxwf90,308,affiliations,"June 08, 2021"
Australian National University,ror.org/019wvm592,307,affiliations,"June 08, 2021"
Wageningen University & Research,ror.org/04qw24q55,300,affiliations,"June 08, 2021"
University of Michigan-Ann Arbor,ror.org/00jmfr291,293,affiliations,"June 08, 2021"
Swedish University of Agricultural Sciences,ror.org/02yy8x990,292,affiliations,"June 08, 2021"
Yale University,ror.org/03v76x132,286,affiliations,"June 08, 2021"
University of Lausanne,ror.org/019whta54,277,affiliations,"June 08, 2021"
University of Queensland,ror.org/00rqy9422,276,affiliations,"June 08, 2021"
University of Wisconsin-Madison,ror.org/01y2jtd41,274,affiliations,"June 08, 2021"
Lund University,ror.org/012a77v79,271,affiliations,"June 08, 2021"
University of Western Australia,ror.org/047272k79,271,affiliations,"June 08, 2021"
University of Bristol,ror.org/0524sp257,255,affiliations,"June 08, 2021"
University of Oslo,ror.org/01xtthb56,250,affiliations,"June 08, 2021"
McGill University,ror.org/01pxwe438,242,affiliations,"June 08, 2021"
Aarhus University,ror.org/01aj84f44,240,affiliations,"June 08, 2021"
University of Melbourne,ror.org/01ej9dk98,238,affiliations,"June 08, 2021"
Stanford University,ror.org/00f54p054,234,affiliations,"June 08, 2021"
University of Groningen,ror.org/012p63287,231,affiliations,"June 08, 2021"
University of Copenhagen,ror.org/035b05819,230,affiliations,"June 08, 2021"
University of Sydney,ror.org/0384j8v12,230,affiliations,"June 08, 2021"
North Carolina State University,ror.org/04tj63d06,230,affiliations,"June 08, 2021"
Oregon State University,ror.org/00ysfqy60,229,affiliations,"June 08, 2021"
The University of Texas at Austin,ror.org/00hj54h04,227,affiliations,"June 08, 2021"
University of California Los Angeles,ror.org/046rm7j60,225,affiliations,"June 08, 2021"
University of Alberta,ror.org/0160cpw27,220,affiliations,"June 08, 2021"
University College London,ror.org/02jx3x895,215,affiliations,"June 08, 2021"
University of California System,ror.org/00pjdza24,214,affiliations,"June 08, 2021"
Stockholm University,ror.org/05f0yaq80,214,affiliations,"June 08, 2021"
United States Department of Agriculture,ror.org/01na82s61,213,affiliations,"June 08, 2021"
Pennsylvania State University,ror.org/04p491231,213,affiliations,"June 08, 2021"
Monash University,ror.org/02bfwt286,212,affiliations,"June 08, 2021"
University of Montana,ror.org/0078xmk34,209,affiliations,"June 08, 2021"
University of Bern,ror.org/02k7v4d05,208,affiliations,"June 08, 2021"
United States Geological Survey,ror.org/035a68863,198,affiliations,"June 08, 2021"
Smithsonian Tropical Research Institute,ror.org/035jbxr46,197,affiliations,"June 08, 2021"
University of Chicago,ror.org/024mw5h28,192,affiliations,"June 08, 2021"
James Cook University,ror.org/04gsp2c11,192,affiliations,"June 08, 2021"
Colorado State University,ror.org/03k1gpj17,190,affiliations,"June 08, 2021"
